pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,st_vsin,sy_dist
HD 213472 b,HD 213472,17000.0,12000.0,-4800.0,13.0,13.1,,,1112.3994245,349.6112477,-187.51876013,2.72,,,,,,0.53,0.12,-0.085,,,,,5729.54,1.433902,1.048132,0.1249,,,64.4527
HD 26161 b,HD 26161,10942.29013,10474.0807,-1387.88781,10.087,11.9,,,9045.39646322,6372.14173194,-70.55790635,29.5,,,,,,0.922,0.037,-0.099,,,,,6057.62,1.455981,1.12,-0.0095,,,40.9128
Kepler-304 e,Kepler-304,1.499146953,2.797e-06,-2.797e-06,0.02317,1.2,0.06,-0.03,1.87,,,5.95,,,1137.0,,,0.0,,,397.254,15.582,-15.045,,4817.0,0.73,0.8,0.05,2.09,,434.684
Kepler-341 e,Kepler-341,42.473269,0.000633,-0.000633,0.242,1.99,1.03,-1.03,4.62,,,3.22,,,539.0,,,0.0,,,25.667,1.183,-1.124,,6012.0,1.024,0.976,0.07,9.12,,1047.03
Kepler-27 d,Kepler-27,6.546289921,,,0.06578,2.7061946,,,7.78,,,2.16,,,810.0,,,0.0,,,88.2,10.3,-10.3,,5251.0,0.817,0.926,0.21,1.62,0.6,1044.36
Kepler-341 b,Kepler-341,5.195528,5.3e-05,-5.3e-05,0.06,1.18,0.62,-0.62,1.76,,,5.89,,,1085.0,,,0.0,,,422.097,19.46,-18.491,,6012.0,1.024,0.976,0.07,9.12,,1047.03
Kepler-1935 b,Kepler-1935,3.951400042,,,0.0463,2.50271696,,,6.82,,,2.39,,,1083.0,,,0.0,,,324.78,238.09,-104.3,,5570.0,0.899,0.845,-0.18,,,904.702
Kepler-80 b,Kepler-80,7.05246,0.0002,-0.00022,0.0648,2.67,0.1,-0.1,6.93,1.05,-0.7,1.38,0.24,-0.17,547.0,,,0.0049,0.0036,-0.0036,54.382,1.34,-1.304,K5,4540.0,0.678,0.73,0.04,2.0,,369.451
Kepler-1997 b,Kepler-1997,26.7575866,0.0002942,-0.0002942,0.1815,2.28,0.72,-0.28,5.82,,,2.7,,,660.0,,,0.0,,,44.86,42.94,-15.99,,6215.0,1.052,1.111,-0.06,,,1502.34
GJ 229 A c,GJ 229,121.93268,0.06708,-0.08158,0.384,2.87,,,8.58136699,0.63565681,-0.63565681,1.99,,,,,,0.366,0.065,-0.063,,,,M1.5V,3564.0,0.46,0.509,,0.4,1.0,5.75624
GJ 720 A b,GJ 720 A,19.466,0.005,-0.005,0.119,3.77,,,13.64,0.78,-0.79,1.4,,,401.0,32.0,-32.0,0.12,0.05,-0.06,,,,M0.5 V,3837.0,0.56,0.57,-0.14,,0.99,15.5575
HD 152843 c,HD 152843,19.502104,7.4e-05,-8.5e-05,0.1482,5.94,0.18,-0.16,9.67,1.97,-1.92,0.253,0.059,-0.057,253.08,,,0.074,0.072,-0.05,133.1,11.1,-10.2,G0,6310.0,1.43,1.15,-0.16,3.97,8.38,107.898
Kepler-94 b,Kepler-94,2.50806,,,0.03377,3.51,0.15,-0.15,10.84,1.4,-1.4,1.45,0.26,-0.26,997.0,,,0.0,,,216.094,2.848,-2.827,M0 V,4781.0,0.76,0.81,0.34,1.41,0.5,191.904
Kepler-305 c,Kepler-305,8.291,,,0.07568,3.3,0.82,-0.33,6.0,2.4,-2.2,0.917,,,728.0,,,0.0,,,65.1,4.819,-4.448,,5080.0,0.8,0.76,0.09,4.37,,868.477
Kepler-784 c,Kepler-784,17.157236,0.0001862,-0.0001862,0.1309,1.55,0.24,-0.36,3.02,,,4.46,,,844.0,,,0.0,,,119.87,53.1,-54.09,,5676.0,1.487,1.016,0.1,2.88,4.8,1303.72
Kepler-279 d,Kepler-279,54.414,,,0.2901,3.1,1.24,-0.3,37.5,5.5,-4.5,0.3,0.2,-0.2,574.0,,,0.0,,,35.739,1.644,-1.562,,6689.45,1.07,1.1,-0.1141,0.22,,1037.4
Kepler-58 e,Kepler-58,4.45814897,2.897e-05,-2.897e-05,0.0533,1.61,0.52,-0.22,597.796,,,131.0,349.0,-130.0,1212.0,,,0.0,,,511.6,502.96,-182.45,,6100.0,1.083,1.017,-0.12,2.14,,969.252
Kepler-770 c,Kepler-770,1.475322314,4.187e-06,-4.187e-06,0.0309,1.2,0.19,-0.1,1.87,,,5.95,,,2740.0,,,0.0,,,833.588,40.152,-38.092,,5598.0,0.92,0.94,-0.01,4.57,,930.457
Kepler-1397 b,Kepler-1397,47.449955,0.000752,-0.000752,0.25861,1.72,0.19,-0.14,3.61,,,3.9,,,551.0,,,0.0,,,58.103,2.823,-2.67,,6026.0,1.12,1.09,0.0,3.55,,1198.25
Kepler-169 d,Kepler-169,8.348125,4.1e-05,-4.1e-05,0.075,1.25,0.09,-0.09,2.1,,,5.91,,,702.0,,,0.0,,,55.53,1.358,-1.332,,4997.0,0.763,0.825,0.17,0.79,,406.529
Kepler-438 b,Kepler-438,35.23319,0.00025,-0.00029,0.166,1.12,0.16,-0.17,1.46,,,5.71,,,288.0,,,0.03,0.1,-0.03,1.4,0.67,-0.77,,3748.0,0.52,0.544,0.16,4.4,,195.94287175
Kepler-201 b,Kepler-201,25.672083,7.5e-05,-7.5e-05,0.175,2.46,0.48,-0.48,6.62,,,2.44,,,683.0,,,0.0,,,64.549,2.329,-2.241,,6065.0,1.229,1.098,-0.0442,4.07,,636.445
TOI-519 b,TOI-519,1.2652328,5e-07,-5e-07,0.0159,11.54525012,0.33626942,-0.33626942,147.15455244,26.06192937,-27.96889982,0.56,0.11,-0.11,687.0,14.0,-14.0,0.33,,,54.0,4.0,-4.0,M V,3322.0,0.35,0.335,0.27,5.4,,115.557
Kepler-298 b,Kepler-298,10.475464,2.7e-05,-2.7e-05,0.08,1.96,0.1,-0.1,4.5,,,3.28,,,540.0,,,0.0,,,24.707,0.979,-0.939,,4465.0,0.582,0.66,-0.21,2.4,,518.204
KIC 8121913 b,KIC 8121913,3.294601,1.3e-05,-0.00022,,13.4,,,667.4396547,127.1313628,-127.1313628,1.52,,,,,,,,,,,,,5975.3,2.233,1.456,0.252,,,707.303
HD 80869 b,HD 80869,1752.92067,37.0165,-33.60283,2.905,12.8,,,1609.80088146,809.82678104,-179.57304995,4.22,,,203.2,6.8,-5.5,0.924,0.053,-0.094,0.142,0.013,-0.012,G5,5837.0,1.062,1.06,0.17,,3.7,85.3951
Kepler-305 e,Kepler-305,3.20538,,,0.04017,1.7938153,,,3.87,,,3.68,,,1000.0,,,0.0,,,220.4,21.6,-21.6,,4974.0,0.827279,0.82,0.09,4.37,,868.477
Kepler-101 b,Kepler-101,3.4876812,7e-06,-7e-06,0.0474,5.77,0.85,-0.79,51.1,5.1,-4.7,1.45,0.83,-0.48,1513.0,103.0,-145.0,0.086,0.08,-0.059,1240.332,46.318,-44.577,G3 IV,5667.0,1.56,1.17,0.33,5.9,2.6,927.981
Kepler-295 d,Kepler-295,33.884054,0.000685,-0.000685,0.192,1.36,0.72,-0.72,2.42,,,5.29,,,533.0,,,0.0,,,104.962,9.547,-8.567,,5603.0,0.898,0.89,-0.03,6.46,,1699.19
Kepler-1669 d,Kepler-1669,4.72941177,3.075e-05,-3.075e-05,0.0468,1.22,0.05,-0.06,1.98,,,5.99,,,669.0,,,0.0,,,47.3,8.56,-7.89,,4224.0,0.603,0.609,-0.2,13.9,,543.444
Kepler-295 c,Kepler-295,21.526258,0.000336,-0.000336,0.142,1.17,0.62,-0.62,1.71,,,5.87,,,621.0,,,0.0,,,141.4,15.5,-15.5,,5603.0,0.898,0.89,-0.03,6.46,,1699.19
Kepler-1889 b,Kepler-1889,37.30369949,,,0.2082,2.94360686,,,8.98,,,1.93,,,493.0,,,0.0,,,14.0,10.85,-4.22,,5646.0,0.817,0.864,-0.28,,,1395.13
Kepler-1547 b,Kepler-1547,0.692979676,1.486e-06,-1.486e-06,0.01556,0.9,0.28,-0.12,0.666,,,5.02,,,3186.0,,,0.0,,,5760.944,149.802,-145.499,,6078.0,1.18,1.12,0.04,3.39,,674.695
Kepler-1620 b,Kepler-1620,101.951829,0.001572,-0.001572,0.4322,1.61,0.64,-0.27,3.22,,,4.24,,,428.0,,,0.0,,,7.92,7.47,-2.57,,6157.0,1.23,1.15,0.03,3.02,,895.069
TYC 8998-760-1 b,TYC 8998-760-1,,,,162.0,12.3,,,4449.62,953.49,-953.49,13.1,,,,,,,,,,,,K3 IV,4573.0,0.953811,1.0,,0.0167,,94.6177
CoRoT-30 b,CoRoT-30,9.06005,0.00024,-0.00024,0.0844,11.309881,0.851884,-0.851884,921.707,69.9226,-69.9226,3.45,0.65,-0.65,,,,0.007,0.031,-0.031,,,,G3 V,5650.0,0.91,0.98,0.02,3.0,4.3,1032.23
CoRoT-31 b,CoRoT-31,4.62941,0.00075,-0.00075,0.0586,16.36514,3.3627,-3.3627,266.9772,108.0622,-108.0622,0.33,0.18,-0.18,,,,0.02,0.16,-0.16,,,,G2 IV,5700.0,2.15,1.25,0.0,4.7,2.8,2005.76
K2-350 b,K2-350,4.163873,2.2e-05,-2.3e-05,,1.54,0.15,-0.11,2.99,,,4.5,,,1158.0,29.0,-34.0,,,,,,,,5789.0,1.04,0.98,-0.02,,,489.368
K2-352 b,K2-352,3.665912,0.000273,-0.000295,,1.37,0.1,-0.07,2.45,,,5.24,,,1160.0,16.0,-15.0,,,,,,,,5791.0,0.95,0.98,-0.05,,,176.051
Kepler-865 c,Kepler-865,6.20920207,4.79e-05,-4.79e-05,0.061,0.89,0.19,-0.13,0.64,,,4.99,,,914.0,,,0.0,,,164.98,110.29,-58.3,,5440.0,0.885,0.782,-0.24,4.27,,586.137
Kepler-69 c,Kepler-69,242.4613,0.0059,-0.0064,0.64,1.71,0.34,-0.23,3.57,,,3.92,,,299.0,19.0,-20.0,0.14,0.18,-0.1,2.687,0.088,-0.085,G4 V,5638.0,0.93,0.81,-0.29,13.18,,730.625
