rjd,rv,rv_err,dlW,dlW_err,dtemp,dtemp_err
60099.00130755489,-35108.54096968967,3.1234625938237386,1023983.3939333832,14723.33309718687,174.01626953938697,1.393604716627325
60099.99041926686,-35112.06172737453,2.999807388431269,968226.2229302052,14127.503627664802,165.95098315598676,1.3426084775174385
60100.92837747885,-35109.25754523852,3.062019758662073,1056040.1404186334,14516.605505057854,175.71578913797077,1.3813821327597275
60101.87205950753,-35107.600901294245,3.037892586315314,1095072.3433828088,14305.12463834026,179.7758672243309,1.3666786954944872
60102.98294274486,-35108.48618731763,2.840321739036737,999358.7063905528,13396.58363330834,166.55369760353304,1.273276969394261
60104.86188542855,-35116.41545453775,2.9673833320117726,980790.5320640596,13980.671776535522,167.01547431580258,1.327889207769093
60123.95939544379,-35115.842691632155,2.952495996806758,1029192.6715832432,13883.690424502682,173.83920644451388,1.3201846665307446
60125.9539645164,-35113.50878965634,2.870541372557029,1063697.2263356408,13573.277519166331,177.83665899284856,1.296155295975392
60127.01434843592,-35117.48202674401,2.9700093814379165,999054.8531992186,14019.04050466204,172.70949433652538,1.3339242207572326
60127.9281439709,-35115.14004813752,2.8881165282533448,1037628.1748581828,13668.07137843242,178.10940907270225,1.3038746027331185
60128.99034965702,-35111.96722530749,3.0920011731231294,1032269.4633545338,14546.811144627449,174.68350237061208,1.3879859102687084
60130.929112738464,-35111.1218047046,2.9516425352762594,1000750.4952939124,13932.810213321798,171.23200020597454,1.3326317720175491
60131.92560181371,-35107.57290534897,2.9301523773654936,1048979.2861687131,13809.01146595093,176.1748298433905,1.3167450451524996
60132.9296688732,-35113.2728129605,2.956973612774132,1046980.6494571645,13925.767615543611,173.94258933531256,1.3261617282665137
60142.92409481015,-35124.32124049166,3.824726566667771,1119226.1790762912,17860.823550503286,182.40891377644,1.6817502409385388
60143.91575248609,-35121.0505269653,3.468343493807299,1124464.5396002275,16274.972041882142,183.0516265187798,1.5356640250029328
60145.915627171285,-35115.410837774645,3.4449912680720143,1096146.2625885198,16216.754958705118,181.0128510823527,1.5371500406950616
60146.90608884161,-35117.28981989371,2.9953537432166657,1016291.6700745547,14125.618544804463,172.31698928937712,1.34872452428217
60147.89856654557,-35116.65140023529,2.907130093470959,1015403.2535843411,13690.479602156312,171.40161101882268,1.3113846384291077
60148.90079811483,-35130.00543180502,3.302717251421322,1143543.4020983358,15527.08426757567,186.6175811813336,1.4776996019118926
60150.87936321984,-35132.68635823387,2.977360368646845,1034796.058310815,13989.527465188983,175.41008610806824,1.3380554891482248
60151.85445166461,-35120.0312977184,3.609106621439894,1143536.52410789,16899.341750995463,188.67915042589703,1.5975688823920893
60152.85219879239,-35119.121872524855,2.914273693118601,1033258.043461606,13712.396811573668,173.04843520100857,1.311001920083715
60158.90621483163,-35120.63443853555,3.122364684542278,1089853.5208303523,14655.740648358327,179.39098737229648,1.3993172240018694
60181.75132531265,-35115.68981401547,2.97891909046851,1051340.870404619,14033.676075677236,178.2869161121987,1.3430464363726802
60184.74951161724,-35111.85619283572,2.9506437945919144,1066578.440920261,13896.121612189903,179.58271580753402,1.327248490217159
60187.7482258213,-35121.94911051829,4.53800333991234,1470577.475965384,21218.81310691701,220.8371517994916,2.010602465948998
60387.10762054636,-35127.05618830771,2.784447280236996,973334.621054423,13044.394022940154,165.3513867423042,1.2535400268343428
60388.1403778136,-35129.248368448985,2.7970414223403104,951095.7368514722,13123.970855743642,162.71236010392863,1.260385588793257
60389.09681845922,-35124.68799307404,2.7751972150092645,946387.7801631112,13007.501593481573,163.02106622574524,1.2476445412480617
60391.09538975393,-35137.11507009382,3.254483621717028,1102840.5459734516,15184.50437573388,181.16938314508545,1.451552975361497
60392.11964324804,-35126.40784635953,2.788104489917722,990967.4851846852,13059.309378084592,168.61294585216834,1.2593155859026033
60393.10653650365,-35126.85708193392,2.9920986559427,1033087.1331018334,14003.443492390945,173.9018941677075,1.3472508905194394
60395.11260207195,-35131.2423137545,3.4055701771751403,919416.2365308844,14594.18602027187,160.57282853605312,1.3924415697563504
60397.08103609434,-35129.32546039116,3.015424122402916,948821.5053639042,14033.039766460246,163.47286755411056,1.3406718697755506
60399.06643707887,-35119.46820963912,2.893517784225199,989303.1694048906,13316.12132286446,169.8460141989188,1.2845738648940774
60400.05842279061,-35125.23516635729,2.8106935674201674,959850.8898873348,13192.767918689557,165.6204315953482,1.2631851440244424
60401.09574145381,-35126.37624701722,2.7819034677383034,957838.4474366566,12997.907602083287,164.2434129392445,1.2452380670440022
60402.05950443016,-35133.824200147086,2.7951361354557767,981678.3316713048,13102.093672969942,166.6772593816566,1.2549987419469404
60405.10167781601,-35129.11054881176,2.8858977496894083,997654.9165603138,13467.194741074378,169.98540385676304,1.2904501977871845
60423.03917721356,-35124.3987090377,2.887709419129285,1041802.6266036646,13605.695409547809,175.67703247753408,1.3027109897111662
60424.984653627966,-35130.87624311318,2.863014033181261,1017316.7674793772,13393.435967477371,174.4980005601747,1.2825178513966686
60427.97532302083,-35134.112715118565,2.8192713923082677,973508.9327964596,13299.15048823946,166.63961589838942,1.268971938648489
60429.01545460557,-35122.758324338705,2.9881875332678707,1033233.2219706312,13998.799511961284,175.2719237668714,1.3379785943737244
60429.99920315284,-35131.332089493924,3.815211446636878,1108003.1468165447,17773.52429349134,183.9372944908993,1.670419775291104
60432.03406462516,-35132.573890747066,2.902077930540217,1025017.7348488726,13640.657772559663,175.27386645766484,1.3088753950777778
60486.04175467196,-35125.70519966814,3.091815174961708,1073088.9080068558,14544.042042254036,179.0898001440746,1.3860114114333053
60516.90946843906,-35118.99542828165,3.099657379897068,975207.6318965944,14451.83357197704,168.07442046439752,1.3825580444821215
60517.92934803257,-35132.81925255548,3.0676732616701705,984849.8598006448,14228.955484688797,163.8669337410389,1.3590103483745222
60538.82637093402,-35125.40458522878,2.9860119668151923,1045451.1002955398,13986.318934682426,174.41523283422873,1.334866469229972
60539.79633503477,-35117.484949580525,3.220529727628187,1074398.1102775824,15109.294618275264,182.2702212434163,1.4432936869929809
60540.75697807141,-35123.475637798045,2.9307058343094776,1029308.4990899746,13767.457837151223,175.33605421487675,1.3161861847912009
60542.76159867819,-35117.49911417449,3.1670649774017963,1064243.5085434453,14839.513259294135,179.6637416859065,1.411720265383822
60543.76237627491,-35125.327276429256,2.9996148535127616,1048702.6678408077,14081.650964564304,177.7779471674422,1.345945231891079
60571.752210743376,-35123.53121546829,3.0388794978625957,1025242.36623524,14173.777818775958,175.12581310858863,1.3537096194836535
60573.723855191376,-35129.16700999956,2.96525998323971,971321.3941479932,13927.173284919443,170.40094161447604,1.333200998481461
60575.73083221191,-35124.39239188153,3.571888066688493,1100659.286947813,16949.330413209627,184.22899696040983,1.6074658122689534
60577.73648376472,-35123.94070237429,3.2191450225331417,1105201.5095052912,15068.136039299809,184.38251157201825,1.4377537129553644
